Year,Units,Series,federal state,GeoCode,county,Value
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,5.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,9.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,9.4
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,12.4
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,10.8
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,13.9
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,12.5
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,13.9
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,14.8
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,15.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,16.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,17.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,5.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,9.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,9.4
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,12.4
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,10.8
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,13.9
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,12.5
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,13.9
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,14.8
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,15.8
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,16.1
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,17.2
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07337,südliche weinstraße,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,7.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,10.5
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,13.6
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,16.2
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,15.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,17.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,7.9
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,10.5
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,13.6
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,16.2
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,15.7
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.7
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,17.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.6
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,18.5
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07338,rhein-pfalz-kreis,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,8.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,14.4
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,17.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,20.3
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,21.5
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,24.4
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,23.2
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,22.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,25.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,24.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,25.5
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,26.0
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2022,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,8.8
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,14.4
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,17.7
2012,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,20.3
2013,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,21.5
2014,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,24.4
2015,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,23.2
2016,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,22.5
2017,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,25.4
2018,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,24.3
2019,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,25.5
2020,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,26.0
2021,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07339,mainz-bingen,
2006,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,
2007,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,
2008,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,
2009,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,7.7
2010,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,11.1
2011,percentage,all-day care provision for 0 to 2-year-old children,rhineland palatinate,code07340,südwestpfalz,11.0
